25	1000	1
0	40	50	0	0	960	0	0	0
1	25	85	-10	673	793	10	14	0	11
2	22	75	30	152	272	10	0	98	22
3	22	85	10	471	591	0	0	101	55
4	20	80	-19	644	764	10	59	0	11
5	20	85	20	73	193	10	0	88	15
6	18	75	-20	388	508	10	12	0	31
7	15	75	-16	300	420	10	65	0	11
8	15	80	10	367	487	10	0	46	44
9	10	35	-13	371	491	10	87	0	43
10	10	40	-3	519	639	10	62	0	25
11	8	40	40	195	315	10	0	68	28
12	8	45	20	223	343	10	0	6	31
13	5	35	-23	653	773	10	57	0	49
14	5	45	10	35	155	10	0	1	11
15	2	40	20	174	294	10	0	55	25
16	0	40	20	255	375	10	0	73	33
17	0	45	20	703	823	10	0	100	78
18	44	5	-9	335	455	10	82	0	25
19	42	10	40	254	374	10	0	51	33
20	42	15	10	537	657	10	0	54	62
21	40	5	-30	215	335	10	23	0	27
22	40	15	-2	375	495	10	85	0	42
23	38	5	30	201	321	10	0	21	27
24	38	15	-25	681	801	10	89	0	70
25	35	5	-10	784	904	10	48	0	80
26	95	30	-20	529	649	10	41	0	46
27	95	35	20	146	266	10	0	99	20
28	92	30	10	149	269	10	0	67	21
29	90	35	10	194	314	10	0	30	26
30	88	30	-10	246	366	10	29	0	26
31	88	35	20	165	285	10	0	90	23
32	87	30	-30	621	741	10	38	0	36
33	85	25	10	80	200	10	0	71	14
34	85	35	-10	487	607	10	39	0	14
35	67	85	-3	657	777	10	52	0	27
36	65	85	40	43	163	10	0	72	10
37	65	82	10	557	677	10	0	80	63
38	62	80	30	278	398	10	0	32	36
39	60	80	10	64	184	10	0	34	14
40	60	85	-10	329	449	10	45	0	11
41	58	75	20	376	496	10	0	26	46
42	55	80	10	33	153	10	0	44	11
43	55	85	-17	574	694	10	64	0	29
44	55	82	-10	217	337	10	42	0	11
45	20	82	10	37	157	10	0	40	11
46	18	80	-10	489	609	10	8	0	44
47	2	45	10	105	225	10	0	78	18
48	42	5	10	732	852	10	0	25	80
49	42	12	10	440	560	10	0	56	52
50	72	35	-10	507	627	10	81	0	46
51	55	20	-40	326	446	10	19	0	33
52	25	30	3	175	295	10	0	35	27
53	20	50	-14	375	495	10	92	0	11
54	55	60	-10	601	721	10	20	0	62
55	30	60	-20	599	719	10	15	0	25
56	50	35	-10	557	677	10	49	0	52
57	30	25	23	397	517	10	0	13	49
58	15	10	-7	782	902	10	77	0	83
59	10	20	19	42	162	10	0	4	11
60	15	60	-35	694	814	10	97	0	61
61	45	65	9	258	378	10	0	94	36
62	65	35	3	167	287	10	0	10	25
63	65	20	-6	39	159	10	95	0	10
64	45	30	17	191	311	10	0	43	29
65	35	40	16	11	131	10	0	7	11
66	41	37	16	566	686	10	0	93	67
67	64	42	-10	268	388	10	28	0	21
68	40	60	-40	612	732	10	11	0	28
69	31	52	27	157	277	10	0	76	26
70	35	69	23	810	930	0	0	102	91
71	65	55	-10	241	361	10	33	0	14
72	63	65	-40	60	180	10	36	0	10
73	2	60	-20	286	406	10	16	0	33
74	20	20	-28	645	765	10	86	0	43
75	5	5	16	232	352	10	0	79	29
76	60	12	-27	268	388	10	69	0	26
77	23	3	7	764	884	10	0	58	83
78	8	56	-10	365	485	10	47	0	18
79	6	68	-16	352	472	10	75	0	29
80	47	47	-10	822	942	10	37	0	63
81	49	58	10	355	475	10	0	50	46
82	27	43	9	152	272	10	0	18	25
83	37	31	14	105	225	10	0	84	20
84	57	29	-14	395	515	10	83	0	20
85	63	23	2	344	464	10	0	22	42
86	21	24	28	349	469	10	0	74	43
87	12	24	13	359	479	10	0	9	43
88	24	58	-20	260	380	10	5	0	15
89	67	5	25	713	833	10	0	24	70
90	37	47	-20	359	479	10	31	0	23
91	49	42	-26	719	839	10	96	0	66
92	53	43	14	14	134	10	0	53	11
93	61	52	-16	808	928	10	66	0	67
94	57	48	-9	392	512	10	61	0	36
95	56	37	6	100	220	10	0	63	10
96	55	54	26	562	682	10	0	91	66
97	4	18	35	547	667	10	0	60	61
98	26	52	-30	172	292	10	2	0	22
99	26	35	-20	308	428	10	27	0	20
100	31	67	-20	810	930	10	17	0	78
101	22	85	-10	471	591	10	3	0	55
102	35	69	-23	810	930	10	70	0	91

